Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,8260,2089,26,44.529997917688505,1.7552999997860752,742.9985000017041,170.49648910411622,27.64064648296391,6.990473426502615,26,40,50,60,97,150,240,320,540,740,740
POST,/retrain,4210,4210,14,21.95783809977883,6.558500001119683,340.69860000090557,146.0,14.088029260687415,14.088029260687415,14,20,25,29,43,61,92,120,270,340,340
POST,/upload,6092,0,12,22.449876707203487,5.928399998083478,397.7507000017795,755.0,20.3858133624959,0.0,12,19,24,28,45,71,110,180,320,400,400
,Aggregated,18562,6299,17,32.163825563002796,1.7552999997860752,742.9985000017041,356.7730309233919,62.11448910614722,21.07850268719003,17,27,36,42,69,100,180,250,490,580,740
